task_id,experiment,status,exit_code,latency_total_seconds,token_usage_input,token_usage_output,llm_calls,subagents_invoked,tool_calls_total,token_usage_input_root,token_usage_output_root,llm_calls_root,subagent_tasks_requested,delegate_task_calls,tool_calls_root,tool_calls_subagents,assistant_turns,turns_with_reasoning,sessions_total,cache_read_tokens,reasoning_tokens,total_tokens,estimated_cost_usd,model,provider,root_session_id,end_reason,category,answer_type,expected_answer,answer_chars
deepsearchqa-0056,no-skill,ok,0,105.764,410633,5623,16,0,19,410633,5623,16,0,0,19,0,16,16,1,923520,3590,416256,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_164840_d4759f,agent_close,Finance & Economics,Single Answer,ArcBest Corporation,595
deepsearchqa-0060,no-skill,ok,0,45.349,127433,1887,8,0,7,127433,1887,8,0,0,7,0,8,8,1,65792,1106,129320,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_164841_7f0cc8,agent_close,Education,Set Answer,"Non-binary, In Foster Care, American Indian or Alaska Native",1026
deepsearchqa-0072,no-skill,ok,0,103.574,157219,5790,19,0,18,157219,5790,19,0,0,18,0,19,19,1,688640,4284,163009,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_164924_a26f6f,agent_close,Health,Set Answer,"Arkansas, Mississippi, Oklahoma, West Virginia",826
deepsearchqa-0076,no-skill,ok,0,688.372,1993768,32785,83,0,82,1993768,32785,83,0,0,82,0,83,83,1,14714880,27407,2026553,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_165025_d7196d,agent_close,Other,Set Answer,"Alaska, Hawaii, New Hampshire, North Dakota, Rhode Island, South Dakota, and Vermont",1217
deepsearchqa-0084,no-skill,ok,0,41.026,88084,1710,9,0,8,88084,1710,9,0,0,8,0,9,9,1,79232,858,89794,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_165109_e41573,agent_close,Technology,Single Answer,Toyota,864
deepsearchqa-0103,no-skill,ok,0,721.384,1859342,26878,81,0,80,1859342,26878,81,0,0,80,0,81,81,1,11217536,21405,1886220,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_165151_190574,agent_close,Travel,Single Answer,5,1214
deepsearchqa-0115,no-skill,ok,0,330.964,528204,14742,50,0,49,528204,14742,50,0,0,49,0,50,50,1,3459456,10274,542946,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_170155_9c2e6b,agent_close,Geography,Set Answer,"Kerepakupai Merú, Cataracta Gocta, Salto Yutajé",1979
deepsearchqa-0120,no-skill,ok,0,33.045,76803,1647,5,0,5,76803,1647,5,0,0,5,0,5,5,1,35584,1098,78450,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_170355_eebd5c,agent_close,Politics & Government,Single Answer,Michigan,554
deepsearchqa-0121,no-skill,ok,0,85.487,135325,2815,15,0,14,135325,2815,15,0,0,14,0,15,15,1,199808,1167,138140,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_170429_b12195,agent_close,Politics & Government,Set Answer,"Charlie O'Connor (5.0%, Fianna Fáil), Deirdre O'Donovan (4.9%, Fianna Fáil), Ellen O'Malley Dunlop (4.6%, Fine Gael), Carly Bailey (4.09%, Social Democrats), Sandra Fay (2.45%, Socialist Party), Anne Marie Condren (1.31%, Renua), Philip Dwyer (0.75%, National Party)",741
deepsearchqa-0122,no-skill,ok,0,326.6,1017807,17678,40,0,39,1017807,17678,40,0,0,39,0,40,40,1,3998976,13355,1035485,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_170555_9e94f1,agent_close,Science,Set Answer,"Pacific sandlance (Ammodytes personatus), Japanese Scad (Decapterus maruadsi), Japanese anchovy (Engraulis japonicus), Deepwater longtail red snapper (Etelis coruscans), Alaska pollack (Gadus chalcogrammus), Pacific cod (Gadus macrocephalus), Red seabream (Pagrus major), Ayu sweetfish (Plecoglossus altivelis), Chub mackerel (Scomber japonicus), Japanese amberjack (Seriola quinqueradiata), Japanese pufferfish (Takifugu rubripes), Yellowfin tuna (Thunnus albacares)",1151
deepsearchqa-0129,no-skill,ok,0,79.924,89101,2765,8,0,7,89101,2765,8,0,0,7,0,8,8,1,97664,2048,91866,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_170729_fdaf15,agent_close,Education,Set Answer,"Kentucky, Wyoming, Montana, Arkansas, Nebraska, Wisconsin, Utah",856
deepsearchqa-0142,no-skill,ok,0,83.921,164249,3353,13,0,12,164249,3353,13,0,0,12,0,13,13,1,343168,2026,167602,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_170850_2e9042,agent_close,Finance & Economics,Set Answer,"Clothing & footwear, Food & non-alcoholic beverages, Housing & household services, Miscellaneous goods and services, Restaurants & hotels, Transport",1012
deepsearchqa-0143,no-skill,ok,0,25.187,53133,705,5,0,4,53133,705,5,0,0,4,0,5,5,1,2432,324,53838,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_171016_6d2e99,agent_close,Travel,Single Answer,Route 1 (Spring Garden),217
deepsearchqa-0153,no-skill,ok,0,156.729,152564,4616,13,0,27,152564,4616,13,0,0,27,0,13,13,1,296832,2832,157180,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_171040_664968,agent_close,Science,Set Answer,"Wild Water Buffalo, 1965; Komodo Dragon, 1986; Yellow-eared Parrot, 1988; Saiga tatarica, 1996; and Siberian Taimen, 2012",634
deepsearchqa-0164,no-skill,ok,0,16.045,21537,790,2,0,5,21537,790,2,0,0,5,0,2,2,1,1536,336,22327,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_171124_cdd014,agent_close,Finance & Economics,Set Answer,"McCormick & Schmicks Seafood Restaurants Inc., OR, BOWFLEX INC., WA, ROLLINS INC, GA, DUQUESNE ENTERPRISES INC, PA, Global Medical Response, Inc., CO",532
