task_id,experiment,status,exit_code,latency_total_seconds,token_usage_input,token_usage_output,llm_calls,subagents_invoked,tool_calls_total,token_usage_input_root,token_usage_output_root,llm_calls_root,subagent_tasks_requested,delegate_task_calls,tool_calls_root,tool_calls_subagents,assistant_turns,turns_with_reasoning,sessions_total,cache_read_tokens,reasoning_tokens,total_tokens,estimated_cost_usd,model,provider,root_session_id,end_reason,category,answer_type,expected_answer,answer_chars
deepsearchqa-0056,forced-skill,ok,0,182.815,689030,13743,51,3,46,37939,2801,3,3,1,2,44,51,51,4,801536,5928,702773,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_191633_79077b,agent_close,Finance & Economics,Single Answer,ArcBest Corporation,1613
deepsearchqa-0060,forced-skill,ok,0,77.279,102286,3787,8,0,7,102286,3787,8,0,0,7,0,8,8,1,58112,2760,106073,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_191634_59d23c,agent_close,Education,Set Answer,"Non-binary, In Foster Care, American Indian or Alaska Native",994
deepsearchqa-0072,forced-skill,ok,0,198.652,668863,11996,48,3,44,44019,2779,4,3,1,3,41,48,48,4,968192,5829,680859,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_191755_2e3be6,agent_close,Health,Set Answer,"Arkansas, Mississippi, Oklahoma, West Virginia",1784
deepsearchqa-0076,forced-skill,ok,0,681.165,1002340,21646,68,0,67,1002340,21646,68,0,0,67,0,68,68,1,8807808,16381,1023986,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_191939_65d4fa,agent_close,Other,Set Answer,"Alaska, Hawaii, New Hampshire, North Dakota, Rhode Island, South Dakota, and Vermont",3197
deepsearchqa-0084,forced-skill,ok,0,72.05,128956,2759,10,0,9,128956,2759,10,0,0,9,0,10,10,1,144256,1424,131715,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_192111_27b741,agent_close,Technology,Single Answer,Toyota,1636
deepsearchqa-0103,forced-skill,ok,0,337.223,727684,18003,38,1,36,501642,13571,19,1,1,18,18,38,38,2,3575936,13471,745687,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_192224_b80a89,agent_close,Travel,Single Answer,5,2089
deepsearchqa-0115,forced-skill,ok,0,513.38,510182,18479,53,1,51,420849,16104,42,1,1,41,10,53,53,2,4136576,12399,528661,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_192803_76a913,agent_close,Geography,Set Answer,"Kerepakupai Merú, Cataracta Gocta, Salto Yutajé",2014
deepsearchqa-0120,forced-skill,ok,0,120.818,224530,5977,16,2,13,31172,1968,3,2,1,2,11,16,16,3,114944,3228,230507,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_193059_d4c026,agent_close,Politics & Government,Single Answer,Michigan,1093
deepsearchqa-0121,forced-skill,ok,0,437.112,671174,18341,46,0,45,671174,18341,46,0,0,45,0,46,46,1,4926976,13892,689515,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_193305_10aec0,agent_close,Politics & Government,Set Answer,"Charlie O'Connor (5.0%, Fianna Fáil), Deirdre O'Donovan (4.9%, Fianna Fáil), Ellen O'Malley Dunlop (4.6%, Fine Gael), Carly Bailey (4.09%, Social Democrats), Sandra Fay (2.45%, Socialist Party), Anne Marie Condren (1.31%, Renua), Philip Dwyer (0.75%, National Party)",2162
deepsearchqa-0122,forced-skill,ok,0,1267.302,1191114,30707,133,4,159,418805,9416,44,4,1,43,116,133,133,5,6653184,10163,1221821,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_193639_1d2b36,agent_close,Science,Set Answer,"Pacific sandlance (Ammodytes personatus), Japanese Scad (Decapterus maruadsi), Japanese anchovy (Engraulis japonicus), Deepwater longtail red snapper (Etelis coruscans), Alaska pollack (Gadus chalcogrammus), Pacific cod (Gadus macrocephalus), Red seabream (Pagrus major), Ayu sweetfish (Plecoglossus altivelis), Chub mackerel (Scomber japonicus), Japanese amberjack (Seriola quinqueradiata), Japanese pufferfish (Takifugu rubripes), Yellowfin tuna (Thunnus albacares)",1799
deepsearchqa-0129,forced-skill,ok,0,369.296,421031,28713,36,0,35,421031,28713,36,0,0,35,0,36,36,1,2874368,24726,449744,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_194020_47fc7b,agent_close,Education,Set Answer,"Kentucky, Wyoming, Montana, Arkansas, Nebraska, Wisconsin, Utah",3288
deepsearchqa-0142,forced-skill,ok,0,147.733,271049,5269,19,0,18,271049,5269,19,0,0,18,0,19,19,1,672128,3234,276318,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_194634_1822f2,agent_close,Finance & Economics,Set Answer,"Clothing & footwear, Food & non-alcoholic beverages, Housing & household services, Miscellaneous goods and services, Restaurants & hotels, Transport",1802
deepsearchqa-0143,forced-skill,ok,0,148.284,445837,9322,42,4,37,16143,1204,3,4,1,2,35,42,42,5,612096,3920,455159,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_194859_cd9fcd,agent_close,Travel,Single Answer,Route 1 (Spring Garden),1441
deepsearchqa-0153,forced-skill,ok,0,294.079,1263859,20710,127,5,121,21876,1026,2,5,1,1,120,127,127,6,5380096,10316,1284569,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_195128_4fdf14,agent_close,Science,Set Answer,"Wild Water Buffalo, 1965; Komodo Dragon, 1986; Yellow-eared Parrot, 1988; Saiga tatarica, 1996; and Siberian Taimen, 2012",706
deepsearchqa-0164,forced-skill,ok,0,21.361,23073,1184,2,0,5,23073,1184,2,0,0,5,0,2,2,1,10880,627,24257,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_195624_1f143d,agent_close,Finance & Economics,Set Answer,"McCormick & Schmicks Seafood Restaurants Inc., OR, BOWFLEX INC., WA, ROLLINS INC, GA, DUQUESNE ENTERPRISES INC, PA, Global Medical Response, Inc., CO",803
deepsearchqa-0189,forced-skill,ok,0,532.645,1098914,27573,90,4,83,45027,7758,4,4,1,3,80,90,90,5,5344128,13532,1126487,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_195646_079c03,agent_close,Politics & Government,Set Answer,"California, Colorado, Connecticut, Delaware, Illinois, Massachusetts, Nevada, New Jersey, New York, Oregon",2776
deepsearchqa-0194,forced-skill,ok,0,324.855,753111,32814,51,3,70,41561,4828,5,3,1,10,60,51,51,4,2669696,20259,785925,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_195748_d6b547,agent_close,Media & Entertainment,Set Answer,Fourth Wing by Rebecca Yarros,3402
deepsearchqa-0206,forced-skill,ok,0,143.23,357967,5473,19,0,18,357967,5473,19,0,0,18,0,19,19,1,527232,3504,363440,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_200312_e2bd12,agent_close,Science,Single Answer,Lialis,1961
deepsearchqa-0208,forced-skill,ok,0,143.865,332312,8888,32,4,27,24040,2477,3,4,1,2,25,32,32,5,290944,4118,341200,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_200538_2f6005,agent_close,Education,Set Answer,"University of Cambridge, UCL",2128
deepsearchqa-0212,forced-skill,ok,0,159.465,474230,11754,26,2,42,27569,2343,5,2,1,4,38,26,26,3,588672,4203,485984,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_200547_a959a8,agent_close,Science,Set Answer,"Skipjack Tuna, Yellowfin Tuna",1859
deepsearchqa-0216,forced-skill,ok,0,260.289,143948,8967,29,0,28,143948,8967,29,0,0,28,0,29,29,1,2148096,5736,152915,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_200804_808514,agent_close,Health,Set Answer,"Alabama, Arkansas, Mississippi, Oklahoma, Utah, West Virginia",2451
deepsearchqa-0230,forced-skill,ok,0,249.75,328450,13746,40,3,38,35033,3574,9,4,3,9,29,40,40,4,1195008,5312,342196,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_200821_366bef,agent_close,Arts,Set Answer,"Red Hills with Flowers (1937), Black Cross, New Mexico (1929)",2937
deepsearchqa-0241,forced-skill,ok,0,243.125,350880,17754,41,3,39,48012,3887,5,3,1,4,35,41,41,4,724864,9457,368634,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_201223_588d99,agent_close,Politics & Government,Set Answer,"Woodrow Wilson, Jimmy Carter, Franklin D. Roosevelt, George W. Bush, Bill Clinton, Theodore Roosevelt",3080
deepsearchqa-0242,forced-skill,ok,0,157.805,205727,14932,17,1,14,21086,1284,2,1,1,1,13,17,17,2,216832,11032,220659,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_201232_1e34af,agent_close,Technology,Single Answer,"United States, Netherlands",875
deepsearchqa-0249,forced-skill,ok,0,256.236,437263,6905,26,0,61,437263,6905,26,0,0,61,0,27,26,1,2212736,3213,444168,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_201511_63a64d,agent_close,Finance & Economics,Single Answer,Evergreen State Bank,249
