scientificName,japaneseName,order,family
Sinosturio sinensis,Karachozame,Acipenseriformes,Acipenseridae
Sinosturio medirostris,Chozame,Acipenseriformes,Acipenseridae
Sinosturio schrenckii,Amuruchozame,Acipenseriformes,Acipenseridae
Sinosturio dauricus,Dauriachozame,Acipenseriformes,Acipenseridae
Lethrinus harak,Matofuefuki,Acanthuriformes,Lethrinidae
Lethrinus longirostris,Tachigamifuefuki,Acanthuriformes,Lethrinidae
Albula koreana,Kisujisotoiwashi,Albuliformes,Albulidae
Lethrinus microdon,Ofuefuki,Acanthuriformes,Lethrinidae
Albula argentea,Sotoiwashi,Albuliformes,Albulidae
Lethrinus miniatus,Amamifuefuki,Acanthuriformes,Lethrinidae
Lethrinus atkinsoni,Isofuefuki,Acanthuriformes,Lethrinidae
Pterothrissus gissu,Gisu,Albuliformes,Albulidae
Pempheris oualensis,Yumehatampo,Acropomatiformes,Pempheridae
Lethrinus nebulosus,Hamafuefuki,Acanthuriformes,Lethrinidae
Albula glossodonta,Marukuchisotoiwashi,Albuliformes,Albulidae
Albula oligolepis,Aramesotoiwashi,Albuliformes,Albulidae
Lethrinus ornatus,Hanafuefuki,Acanthuriformes,Lethrinidae
Parapriacanthus ransonneti,Kimmemodoki,Acropomatiformes,Pempheridae
Gymnocranius microdon,Nagameichi,Acanthuriformes,Lethrinidae
Pempheris ufuagari,Daitohatampo,Acropomatiformes,Pempheridae
Gymnocranius euanus,Shirodai,Acanthuriformes,Lethrinidae
Pempheris schwenkii,Minamihatampo,Acropomatiformes,Pempheridae
Lethrinus olivaceus,Kitsunefuefuki,Acanthuriformes,Lethrinidae
Gymnocranius satoi,Tamameichi,Acanthuriformes,Lethrinidae
Pempheris familia,Boninhatampo,Acropomatiformes,Pempheridae
Maulisia acuticeps,Ochibahanameiwashi,Alepocephaliformes,Platytroctidae
Lethrinus rubrioperculatus,Hoakakuchibi,Acanthuriformes,Lethrinidae
Pempheris adusta,Ryukyuhatampo,Acropomatiformes,Pempheridae
Holtbyrnia innesi,Kitanohanameiwashi,Alepocephaliformes,Platytroctidae
Lethrinus lentjan,Shimofurifuefuki,Acanthuriformes,Lethrinidae
Pempheris japonica,Tsumagurohatampo,Acropomatiformes,Pempheridae
Sagamichthys abei,Hanameiwashi,Alepocephaliformes,Platytroctidae
Gymnocranius griseus,Meichidai,Acanthuriformes,Lethrinidae
Pempheris vanicolensis,Kibirehatampo,Acropomatiformes,Pempheridae
Maulisia argipalla,Kuzuboshihanameiwashi,Alepocephaliformes,Platytroctidae
Lethrinus variegatus,Hosofuefuki,Acanthuriformes,Lethrinidae
Pempheris xanthoptera,Mizuhohatampo,Acropomatiformes,Pempheridae
Mentodus facilis,Nettaihanameiwashi,Alepocephaliformes,Platytroctidae
Wattsia mossambica,Kokenokogiri,Acanthuriformes,Lethrinidae
Pempheris sasakii,Miehatampo,Acropomatiformes,Pempheridae
Lethrinus genivittatus,Itofuefuki,Acanthuriformes,Lethrinidae
Monotaxis heterodon,Kagutsuchiyokoshimakurodai,Acanthuriformes,Lethrinidae
Alepocephalus australis,Aramekon-nyakuiwashi,Alepocephaliformes,Alepocephalidae
Gymnocranius superciliosus,Hikimayumeichi,Acanthuriformes,Lethrinidae
Rouleina squamilatera,Sekitoriiwashi,Alepocephaliformes,Alepocephalidae
Gymnocranius grandoculis,Sazanamidai,Acanthuriformes,Lethrinidae
Rouleina attrita,Hososekitoriiwashi,Alepocephaliformes,Alepocephalidae
Champsodon sagittus,Yajiriwanigisu,Acropomatiformes,Champsodontidae
Lethrinus erythracanthus,Amakuchibi,Acanthuriformes,Lethrinidae
Talismania brachycephala,Itoiwashi,Alepocephaliformes,Alepocephalidae
Lethrinus ravus,Minsafuefuki,Acanthuriformes,Lethrinidae
Bajacalifornia megalops,Ukeguchiiwashi,Alepocephaliformes,Alepocephalidae
Champsodon snyderi,Wanigisu,Acropomatiformes,Champsodontidae
Lethrinus xanthochilus,Muneakakuchibi,Acanthuriformes,Lethrinidae
Alepocephalus umbriceps,Kon-nyakuiwashi,Alepocephaliformes,Alepocephalidae
Gymnocranius obesus,Tsukinowameichidai,Acanthuriformes,Lethrinidae
Champsodon guentheri,Kurowanigisu,Acropomatiformes,Champsodontidae
Alepocephalus longirostris,Marukon-nyakuiwashi,Alepocephaliformes,Alepocephalidae
Monotaxis grandoculis,Yokoshimakurodai,Acanthuriformes,Lethrinidae
Alepocephalus bicolor,Hosomekon-nyakuiwashi,Alepocephaliformes,Alepocephalidae
Champsodon longipinnis,Minamiwanigisu,Acropomatiformes,Champsodontidae
Gnathodentex aureolineatus,Nokogiridai,Acanthuriformes,Lethrinidae
Alepocephalus owstoni,Hageiwashi,Alepocephaliformes,Alepocephalidae
Lethrinus reticulatus,Yaeyamafuefuki,Acanthuriformes,Lethrinidae
Champsodon pantolepis,Yoroiwanigisu,Acropomatiformes,Champsodontidae
Lethrinus semicinctus,Amifuefuki,Acanthuriformes,Lethrinidae
Photostylus pycnopterus,Ukeguchitsubuiwashi,Alepocephaliformes,Alepocephalidae
Rouleina guentheri,Tanakasekitoriiwashi,Alepocephaliformes,Alepocephalidae
Lethrinus haematopterus,Fuefukidai,Acanthuriformes,Lethrinidae
Lethrinus obsoletus,Tateshimafuefuki,Acanthuriformes,Lethrinidae
