task_id,experiment,status,exit_code,latency_total_seconds,token_usage_input,token_usage_output,llm_calls,subagents_invoked,tool_calls_total,token_usage_input_root,token_usage_output_root,llm_calls_root,subagent_tasks_requested,delegate_task_calls,tool_calls_root,tool_calls_subagents,assistant_turns,turns_with_reasoning,sessions_total,cache_read_tokens,reasoning_tokens,total_tokens,estimated_cost_usd,model,provider,root_session_id,end_reason,category,answer_type,expected_answer,answer_chars
deepsearchqa-0056,auto-skill,ok,0,222.576,168095,6131,26,0,27,168095,6131,26,0,0,27,0,26,26,1,1341568,3184,174226,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_234407_f00dcb,agent_close,Finance & Economics,Single Answer,ArcBest Corporation,987
deepsearchqa-0060,auto-skill,ok,0,64.894,37947,1617,4,0,3,37947,1617,4,0,0,3,0,4,4,1,23040,1203,39564,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_234422_3e5444,agent_close,Education,Set Answer,"Non-binary, In Foster Care, American Indian or Alaska Native",775
deepsearchqa-0072,auto-skill,ok,0,153.835,273872,4797,15,0,14,273872,4797,15,0,0,14,0,15,15,1,304384,3368,278669,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_234514_725723,agent_close,Health,Set Answer,"Arkansas, Mississippi, Oklahoma, West Virginia",730
deepsearchqa-0076,auto-skill,ok,0,507.219,499084,11350,43,0,42,499084,11350,43,0,0,42,0,43,43,1,4489856,7863,510434,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_234751_2d6897,agent_close,Other,Set Answer,"Alaska, Hawaii, New Hampshire, North Dakota, Rhode Island, South Dakota, and Vermont",1660
deepsearchqa-0084,auto-skill,ok,0,75.073,70491,2586,8,0,7,70491,2586,8,0,0,7,0,8,8,1,99200,1639,73077,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_234756_400b4f,agent_close,Technology,Single Answer,Toyota,1231
deepsearchqa-0103,auto-skill,ok,0,564.838,586900,24211,49,0,48,586900,24211,49,0,0,48,0,49,49,1,6779392,20619,611111,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_234911_7a86eb,agent_close,Travel,Single Answer,5,975
deepsearchqa-0115,auto-skill,ok,0,258.453,559055,8985,31,0,30,559055,8985,31,0,0,30,0,31,31,1,1196288,6147,568040,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_235617_abea87,agent_close,Geography,Set Answer,"Kerepakupai Merú, Cataracta Gocta, Salto Yutajé",1493
deepsearchqa-0120,auto-skill,ok,0,45.091,65231,1166,4,0,4,65231,1166,4,0,0,4,0,4,4,1,28544,668,66397,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_235834_8b6a9a,agent_close,Politics & Government,Single Answer,Michigan,534
deepsearchqa-0121,auto-skill,ok,0,83.402,109365,5408,10,0,9,109365,5408,10,0,0,9,0,10,10,1,360960,4394,114773,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260907_235923_f9bf79,agent_close,Politics & Government,Set Answer,"Charlie O'Connor (5.0%, Fianna Fáil), Deirdre O'Donovan (4.9%, Fianna Fáil), Ellen O'Malley Dunlop (4.6%, Fine Gael), Carly Bailey (4.09%, Social Democrats), Sandra Fay (2.45%, Socialist Party), Anne Marie Condren (1.31%, Renua), Philip Dwyer (0.75%, National Party)",987
deepsearchqa-0122,auto-skill,ok,0,498.841,242743,7175,47,0,46,242743,7175,47,0,0,46,0,47,47,1,2095104,2337,249918,0.0,nvidia/nvidia/nemotron-3-ultra,custom,20260908_000037_97ea9c,agent_close,Science,Set Answer,"Pacific sandlance (Ammodytes personatus), Japanese Scad (Decapterus maruadsi), Japanese anchovy (Engraulis japonicus), Deepwater longtail red snapper (Etelis coruscans), Alaska pollack (Gadus chalcogrammus), Pacific cod (Gadus macrocephalus), Red seabream (Pagrus major), Ayu sweetfish (Plecoglossus altivelis), Chub mackerel (Scomber japonicus), Japanese amberjack (Seriola quinqueradiata), Japanese pufferfish (Takifugu rubripes), Yellowfin tuna (Thunnus albacares)",1348
